repo_url,description,readme
https://github.com/JasonJWilliamsNY/biocoding_2015,Coursework for BioCoding 2015 Course,
https://github.com/bollwyvl/es6-widget-example,an evolving approach for writing Jupyter/IPython widgets with ES6/ES2015,http://i.imgur.com/EtoyFIo.jpghttps://github.com/ipython/ipywidgets/issues/14https://github.com/ipython/ipywidgetshttp://www.ecma-international.org/ecma-262/6.0/#sec-class-definitionshttp://benmccormick.org/2015/07/06/backbone-and-es6-classes-revisited/https://docs.npmjs.com/cli/run-scripthttps://www.npmjs.com/package/watchhttps://babeljs.iohttps://www.npmjs.com/package/babel-preset-es2015https://www.npmjs.com/package/babel-plugin-transform-es2015-modules-amdrequire.jshttps://esdoc.orghttp://eslint.orghttps://mochajs.orghttp://browserify.org/npm
https://github.com/k-sokolov/ensemble,Identifying fraudulent transactions and banknotes as anomaly detection and classification tasks,
https://github.com/adbeyer23/MTA-Analysis-Project,Analyzing NYC subway data,
https://github.com/chakpongchung/Spherical-Harmonics-Expansion,spherical-harmonics-expansion using boost and gsl,http://stsdas.stsci.edu/download/mdroe/plotting/_images/entry1.png
https://github.com/lila/spot_price_history,"IPython notebook that uses Boto, Pandas and MatPlotLib to show historical price data",https://medium.com/cloud-uprising/the-data-science-of-aws-spot-pricing-8bed655caed2https://github.com/lila/spot_price_history/blob/master/notebook/SpotPriceHistory.ipynb
https://github.com/securesystemslab/zippy,ZipPy is a Python3 interpreter on top of Truffle framework,http://ssllab.org/zippy_logo.jpeghttps://travis-ci.org/securesystemslab/zippyhttps://travis-ci.org/securesystemslab/zippyhttps://travis-ci.org/securesystemslab/zippyhttps://travis-ci.org/securesystemslab/zippyhttps://travis-ci.org/securesystemslab/zippyhttps://www.python.org/http://openjdk.java.net/projects/graal/https://ssllab.orghttp://www.uci.edu/http://www.oracle.com/technetwork/java/javase/downloads/jdk8-downloads-2133151.htmlmxPATH$ZIPPY_HOME/zippy/mx.zippy/envhttps://github.com/securesystemslab/zippy/tree/master/doc/graal.mdhttps://github.com/securesystemslab/zippy/wikihttps://github.com/securesystemslab/zippy/wiki
https://github.com/Tiryoh/probrobo_note,Probabilistic Robotics Test Repository,https://github.com/ryuichiueda/probrobo_practicehttps://github.com/Kuwamai/probrobo_note
https://github.com/cben/ansible_jupyter_kernel,[PyCon IL 2017] WIP Jupyter kernel for executing Ansible plays,pip install ansible_jupyter_kernelpip install -e .kernel.json/usr/share/jupyter/kernels/ansible/~/.local/share/jupyter/kernels/ansible/<virtualenv>/share/jupyter/kernels/ansible/kernel.json!ansible%%writefile ...playbook.yml!ansible-notebook
https://github.com/ezdatascience/ezpython,ez's python repository,
https://github.com/franpe1/starting_with_python_ver2,Excersices and Data for Starting with Python Ver2 book,
https://github.com/coolcalbeans/PEPredictor,"The project parsed through a data file containing 70 fundamental / momentum attributes (Returns, Volatility, RSI etc) for ~2200 US Equity Tickers and use KNN algorithm to find the nearest neighbor for a given stock and determines its Predicted fundamental ratios (P/E, P/B and P/S). Also generated a 95% confidence range for price using yearly volatility of the equity. Later improvements, as a part of the Data Science capstone project @ General Assembly, took advantage of the Pandas and Gradient Boosted Regression Techniques from Scikit learn. ",
https://github.com/hfoffani/GAN_MNIST,A GAN that generates numbers from MNIST dataset,environment.yml
https://github.com/biocore/qiime-workshops,Materials for biocore organized workshops,
https://github.com/niharikabalachandra/Linear-regression-MiniProject,Linear Regression using Boston Housing data set. The Boston Housing data set contains information about the housing values in suburbs of Boston. This dataset was originally taken from the StatLib library which is maintained at Carnegie Mellon University and is now available on the UCI Machine Learning Repository.,
https://github.com/vishal-keshav/Conv-neural-network,An application of convolutional neural network algorithms with caffee library and python interface for image and speech detection,
https://github.com/RyosukeHonda/CarND-LaneLines-P1,Finding Lane Lines on the Road,">  conda create --name=yourNewEnvironment python=3 anaconda>  source activate yourNewEnvironment>pythonPython 3.5.2 |Anaconda 4.1.1 (x86_64)| (default, Jul  2 2016, 17:52:12)[GCC 4.2.1 Compatible Apple LLVM 4.2 (clang-425.0.28)] on darwinType ""help"", ""copyright"", ""credits"" or ""license"" for more information.>>>> pip install pillow> conda install -c https://conda.anaconda.org/menpo opencv3> python>>> import cv2>>>>pip install moviepy>python>>>import moviepy>>>> jupyter notebook"
