repo_url,description,readme
https://github.com/JasonJWilliamsNY/biocoding_2015,Coursework for BioCoding 2015 Course,b'# biocoding_2015\nCoursework for BioCoding 2015 Course\n'
https://github.com/bollwyvl/es6-widget-example,an evolving approach for writing Jupyter/IPython widgets with ES6/ES2015,"b'# ES6 Widget Example\n\n> \n\nAn evolving approach to creating a  with .\n\n## Challenges\n-  have slightly different opinions, especially with respect to static properties\n\n## Process Tools\n- [x]  for minimal automation tasks\n- [x]  for live developing with continuous integration\n- [x]  for compilation\n  - [x]  for un-opinonated use of experimental features\n  - [x]  for -compatible modules\n- [x]  for documentation\n- [x]  for code style\n- [ ]  for tests and coverage\n- [ ]  for (inevitable) packaging of external dependencies distributed on \n'"
https://github.com/k-sokolov/ensemble,Identifying fraudulent transactions and banknotes as anomaly detection and classification tasks,b'isolation forest for credit card fraud detection '
https://github.com/adbeyer23/MTA-Analysis-Project,Analyzing NYC subway data,"b'# MTA-Analysis-Project\n\nFirst Project done at Metis! In groups, we looked at MTA subway data to determine the best times and stations to target people for a fictional fundraising gala. This involved a lot of cleaning data, visualizing and analyzing it in different ways, and making assumptions about which groups of people would be most willing to give email information to our canvassers. \n'"
https://github.com/chakpongchung/Spherical-Harmonics-Expansion,spherical-harmonics-expansion using boost and gsl,"b'spherical harmonics expansion and the inner product of rotational gradient operator\n========================================================================\n\n\nTUTORIAL\n--------\n\n\nhttps://nbviewer.jupyter.org/github/chakpongchung/Spherical-Harmonics-Expansion/blob/master/derivation.ipynb\n\n\n\n\n\n\n\n We used it in nematic polymer simulation to find out the parameters that can coverge to  periodic pattern.\n\n\n\nThe core algorithm is implemented with Boost C++ Libraries and GNU Scientific Library(GSL) in C/C++. It can also be used with SymPy in Python since SciPy 2015.  \nhttp://docs.sympy.org/dev/aboutus.html#sympy-development-team\n\n\nTo get started, you can run the following commands:\n\n    tests$ bash ./run.sh\n\n\n\nLIBRARIES DEPENDENCIES:\n-----------------------\nUpdates:  \nstarting from c++17, Associated Legendre Polynomials(hence the function for Spherical Harmonics) are supported in C++17  .\n\nBoost C++ Libraries \nwww.boost.org/\n\nGSL - GNU Scientific Library - GNU Project\nwww.gnu.org/software/gsl/\n\nSymPy\nhttp://www.sympy.org/\n\n\n'"
https://github.com/lila/spot_price_history,"IPython notebook that uses Boto, Pandas and MatPlotLib to show historical price data","b'# README for Spot Pricing project\n\n>This project provides the code basis for . \n\nfiles:\n  bin/ - scripts\n  \tdownload.sh - bash script to download (by default 1 days worth) pricing dataset as json\n  data/ - datasets\n  notebooks - the ipython notebooks\n  \n\n## to start:\n\n1. startup ipython\n\n> % ipython notebook\n\n2. using the web interface, interact with the notebooks.\n\n## managing the dependencies\n\nsince the notebooks require a bunch of libraries, (pandas, matlabplot, etc), you can\nrun the following command to get all the requirements installed:\n\n> % pip install -r requirements.txt\n\n## Example notebook\n\nGo to \n\n'"
https://github.com/securesystemslab/zippy,ZipPy is a Python3 interpreter on top of Truffle framework,"b""\r\n# ZipPy  #\r\n\r\n|                 | Standard JVM  | Graal JVM   |\r\n| :------------------: |:-------------:| :----------:|\r\n| Linux Ubuntu 14.04.5  |   |  |\r\n| Mac OSX 10.12 |   |  |\r\n\r\nZipPy is a fast and lightweight  implementation built using the  framework. ZipPy leverages the underlying Java JIT compiler and compiles Python programs to highly optimized machine code at runtime.\r\n\r\nZipPy is currently maintained by  at the \xe2\x80\x8b.\r\n\r\n### Short instructions (Using Standard JDK):\r\n\r\n##### Prerequisites:\r\n\r\n1. Install the most recent \r\n\r\n#### Getting ZipPy:\r\n\r\n1. Create a working directory ($ZIPPY_HOME)\r\n2. Clone mxtool:\r\n\r\n        $ cd $ZIPPY_HOME\r\n        $ git clone https://github.com/graalvm/mx.git\r\n\r\n3. Append the  build tool directory to your .\r\n\r\n        $ export PATH=$ZIPPY_HOME/mx:$PATH\r\n\r\n4. Clone ZipPy:\r\n\r\n        $ git clone https://github.com/securesystemslab/zippy.git\r\n\r\n5. Get all ZipPy's dependencies:\r\n\r\n        $ cd $ZIPPY_HOME/zippy\r\n        $ mx spull\r\n\r\n6. Create a file  and add JDK path\r\n\r\n        JAVA_HOME=/path/to/jdk8\r\n        DEFAULT_VM=server\r\n\r\n> For instructions on .\r\n\r\n> For more information please visit the .\r\n\r\n\r\n### Build:\r\n\r\n    $ cd $ZIPPY_HOME/zippy\r\n    $ mx build\r\n\r\n### Run:\r\n\r\n    $ cd $ZIPPY_HOME/zippy\r\n    $ mx python <file.py>\r\n\r\n### Test:\r\n\r\n    $ cd $ZIPPY_HOME/zippy\r\n    $ mx junit\r\n\r\nFor more details and instructions for downloading and building the system, please visit the .\r\n"""
https://github.com/Tiryoh/probrobo_note,Probabilistic Robotics Test Repository,b'# probrobo_note\nTest repository\n\n# References\n* \n* \n'
https://github.com/cben/ansible_jupyter_kernel,[PyCon IL 2017] WIP Jupyter kernel for executing Ansible plays,"b'ansible_jupyter_kernel\n======================\n\nWIP Jupyter kernel for executing Ansible plays\n\nUsage\n-----\n\n    $ git clone https://github.com/cben/ansible_jupyter_kernel\n    $ cd ansible_jupyter_kernel\n    $ pip3 install . [--user]\n\n(cant , not uploaded to PyPI yet)\n\nNote that ""develop mode""  does not copy  into the correct place.\nYou can manually create a directory , , or  and copy  there.\n\nLicense\n-------\n\nGPL v3 or later, same as Ansible.\n\nPrior Art\n---------\n\nSome people have been using Ansible inside Jupyter:\n\n- https://github.com/NII-cloud-operation/Literate-computing-Basics\n  - https://www.youtube.com/watch?v=xyfdufiibQk\n- http://enakai00.hatenablog.com/entry/2016/04/22/204125\n- https://chusiang.gitbooks.io/automate-with-ansible/content/07.how-to-practive-the-ansible-with-jupyter1.html\n- https://www.slideshare.net/irix_jp/osc2016-kyoto-heat-ansible-jupyter\n- https://chusiang.gitbooks.io/automate-with-ansible/content/07.how-to-practive-the-ansible-with-jupyter1.html,\n  https://chusiang.gitbooks.io/automate-with-ansible/content/08.how-to-practive-the-ansible-with-jupyter2.html\n\nAFAICT all these are running a Python kernel and shelling out using  syntax, or  followed by .\n\nThat might actually be more flexible (and less buggy) than a kernel that only runs ansible like Im doing here \xe2\x80\x94 and they clearly unlike me have lots of experience actually achieving things using Ansible inside Jupyter \xe2\x80\x94 but the purpose of this exercise was seeing what I can gain from writing a kernel...\n\n- But https://github.com/NII-cloud-operation also have some nbextensions\n'"
https://github.com/ezdatascience/ezpython,ez's python repository,"b'# python\n# used for saving python code\n# for now, it is ipython notebook\n'"
